iteration,total_runs,obs_realization,par_realization,head
22,1490,3,3,0.505738
22,1490,4,4,0.530029
22,1490,5,5,0.914141
22,1490,6,6,0.0324
22,1490,7,7,0.00842
22,1490,8,8,0.330161
22,1490,9,9,0.334564
22,1490,10,10,1.20029
22,1490,11,11,0.000449
22,1490,12,12,1.32033
22,1490,13,13,0.069049
22,1490,14,14,0.222553
22,1490,15,15,0.839492
22,1490,16,16,0.951001
22,1490,17,17,0.139837
22,1490,19,19,0.063172
22,1490,20,20,0.306065
22,1490,21,21,0.055346
22,1490,22,22,1.3798
22,1490,24,24,0.131122
22,1490,25,25,0.055962
22,1490,26,26,0.247477
22,1490,27,27,9.90085
22,1490,28,28,0.045305
22,1490,29,29,0.239156
22,1490,30,30,1.41829
22,1490,31,31,1.69704
22,1490,32,32,0.708292
22,1490,33,33,0.153585
22,1490,34,34,0.673562
22,1490,35,35,1.22353
22,1490,36,36,0.388786
22,1490,37,37,0.114725
22,1490,38,38,1.38931
22,1490,39,39,0.553552
22,1490,40,40,0.170914
22,1490,41,41,1.36668
22,1490,42,42,0.017992
22,1490,43,43,0.33461
22,1490,44,44,1.3957
22,1490,46,46,3.82606
22,1490,47,47,0.016132
23,1566,1,1,0.073421
23,1566,2,2,1.56784
23,1566,3,3,0.529546
23,1566,4,4,0.532768
23,1566,5,5,0.988465
23,1566,6,6,0.038169
23,1566,7,7,0.013842
23,1566,8,8,0.377714
23,1566,9,9,0.352832
23,1566,10,10,1.09052
23,1566,11,11,0.000128
23,1566,12,12,1.05707
23,1566,13,13,0.069857
23,1566,14,14,0.228085
23,1566,15,15,0.836146
23,1566,16,16,0.964745
23,1566,17,17,0.12356
23,1566,19,19,0.069709
23,1566,20,20,0.343961
23,1566,21,21,0.046289
23,1566,22,22,1.37835
23,1566,24,24,0.12205
23,1566,25,25,0.06577
23,1566,26,26,0.224714
23,1566,27,27,8.9058
23,1566,28,28,0.051124
23,1566,29,29,0.249649
23,1566,31,31,1.73915
23,1566,32,32,0.701584
23,1566,33,33,0.1721
23,1566,34,34,0.673081
23,1566,35,35,1.23749
23,1566,36,36,0.445925
23,1566,37,37,0.123529
23,1566,38,38,1.4992
23,1566,39,39,0.578938
23,1566,40,40,0.16501
23,1566,41,41,1.37801
23,1566,42,42,0.023176
23,1566,44,44,1.18614
23,1566,46,46,3.71609
23,1566,47,47,0.014869
24,1640,1,1,0.209753
24,1640,2,2,1.89706
24,1640,4,4,0.610504
24,1640,5,5,1.30581
24,1640,6,6,0.061625
24,1640,7,7,0.10553
24,1640,8,8,0.994549
24,1640,9,9,0.502961
24,1640,10,10,0.720458
24,1640,11,11,0.1096
24,1640,12,12,0.07632
24,1640,13,13,0.128449
24,1640,14,14,0.008425
24,1640,15,15,0.906461
24,1640,16,16,1.14914
24,1640,17,17,0.035081
24,1640,19,19,0.206065
24,1640,20,20,0.647028
24,1640,21,21,0.092381
24,1640,22,22,1.24297
24,1640,24,24,0.023417
24,1640,25,25,0.257405
24,1640,26,26,0.075793
24,1640,27,27,3.14977
24,1640,28,28,0.4514
24,1640,29,29,0.363402
24,1640,31,31,0.26452
24,1640,32,32,0.853621
24,1640,33,33,0.299636
24,1640,34,34,0.702602
24,1640,35,35,1.45296
24,1640,36,36,0.82058
24,1640,37,37,0.21521
24,1640,38,38,0.090765
24,1640,39,39,1.0036
24,1640,40,40,0.153905
24,1640,41,41,1.554
24,1640,42,42,0.185202
24,1640,44,44,0.25985
24,1640,47,47,0.264953
