,0,i,j,kper,obsnme
hds_00_004_009_073,46.780975341796896,4,9,73,hds_00_004_009_000
hds_00_004_009_074,46.5173568725586,4,9,74,hds_00_004_009_000
hds_00_004_009_075,50.2197036743164,4,9,75,hds_00_004_009_000
hds_00_004_009_076,47.4117202758789,4,9,76,hds_00_004_009_000
hds_00_004_009_077,49.726936340332,4,9,77,hds_00_004_009_000
hds_00_004_009_078,50.3322525024414,4,9,78,hds_00_004_009_000
hds_00_004_009_079,46.45841979980471,4,9,79,hds_00_004_009_000
hds_00_004_009_080,48.968326568603494,4,9,80,hds_00_004_009_000
hds_00_004_009_081,49.5375747680664,4,9,81,hds_00_004_009_000
hds_00_004_009_082,48.9116439819336,4,9,82,hds_00_004_009_000
hds_00_004_009_083,51.5855369567871,4,9,83,hds_00_004_009_000
hds_00_004_009_084,47.4450149536133,4,9,84,hds_00_004_009_000
hds_00_004_009_085,49.682956695556605,4,9,85,hds_00_004_009_000
hds_00_004_009_086,48.72859191894529,4,9,86,hds_00_004_009_000
hds_00_004_009_087,52.049388885498,4,9,87,hds_00_004_009_000
hds_00_004_009_088,49.75126647949221,4,9,88,hds_00_004_009_000
hds_00_004_009_089,51.061038970947294,4,9,89,hds_00_004_009_000
hds_00_004_009_090,49.021976470947294,4,9,90,hds_00_004_009_000
hds_00_004_009_091,46.806724548339794,4,9,91,hds_00_004_009_000
hds_00_004_009_092,48.23356628417971,4,9,92,hds_00_004_009_000
hds_00_004_009_093,50.499183654785206,4,9,93,hds_00_004_009_000
hds_00_004_009_094,48.6228103637695,4,9,94,hds_00_004_009_000
hds_00_004_009_095,51.49433898925779,4,9,95,hds_00_004_009_000
hds_00_004_009_096,49.4576950073242,4,9,96,hds_00_004_009_000
hds_00_004_009_097,49.493091583252,4,9,97,hds_00_004_009_000
hds_00_004_009_098,46.0136528015137,4,9,98,hds_00_004_009_000
hds_00_004_009_099,51.011539459228494,4,9,99,hds_00_004_009_000
hds_00_004_009_100,45.9141426086426,4,9,100,hds_00_004_009_000
hds_00_004_009_101,50.2329521179199,4,9,101,hds_00_004_009_000
hds_00_004_009_102,49.951988220214794,4,9,102,hds_00_004_009_000
hds_00_004_009_103,49.067867279052706,4,9,103,hds_00_004_009_000
hds_00_004_009_104,50.4822654724121,4,9,104,hds_00_004_009_000
hds_00_004_009_105,51.929515838623,4,9,105,hds_00_004_009_000
hds_00_004_009_106,50.0350456237793,4,9,106,hds_00_004_009_000
hds_00_004_009_107,49.0660514831543,4,9,107,hds_00_004_009_000
hds_00_004_009_108,49.265289306640604,4,9,108,hds_00_004_009_000
hds_00_004_009_109,49.439571380615206,4,9,109,hds_00_004_009_000
hds_00_004_009_110,50.074192047119105,4,9,110,hds_00_004_009_000
hds_00_004_009_111,50.6242904663086,4,9,111,hds_00_004_009_000
hds_00_004_009_112,50.5655670166016,4,9,112,hds_00_004_009_000
hds_00_004_009_113,50.3392944335938,4,9,113,hds_00_004_009_000
hds_00_004_009_114,52.1198654174805,4,9,114,hds_00_004_009_000
hds_00_004_009_115,50.6064338684082,4,9,115,hds_00_004_009_000
hds_00_004_009_116,50.4127044677734,4,9,116,hds_00_004_009_000
hds_00_004_009_117,51.963802337646506,4,9,117,hds_00_004_009_000
hds_00_004_009_118,53.721866607665994,4,9,118,hds_00_004_009_000
hds_00_004_009_119,50.8349800109863,4,9,119,hds_00_004_009_000
hds_00_004_009_120,51.815853118896506,4,9,120,hds_00_004_009_000
hds_00_004_009_121,50.5969772338867,4,9,121,hds_00_004_009_000
hds_00_004_009_122,51.547088623046896,4,9,122,hds_00_004_009_000
hds_00_004_009_123,50.704795837402294,4,9,123,hds_00_004_009_000
hds_00_004_009_124,52.7153167724609,4,9,124,hds_00_004_009_000
hds_00_004_009_125,51.828330993652294,4,9,125,hds_00_004_009_000
hds_00_004_009_126,51.10502624511721,4,9,126,hds_00_004_009_000
hds_00_004_009_127,50.717903137207,4,9,127,hds_00_004_009_000
hds_00_004_009_128,52.2112503051758,4,9,128,hds_00_004_009_000
hds_00_004_009_129,51.9469604492188,4,9,129,hds_00_004_009_000
hds_00_004_009_130,49.3458099365234,4,9,130,hds_00_004_009_000
hds_00_004_009_131,52.6989212036133,4,9,131,hds_00_004_009_000
hds_00_004_009_132,50.283992767334006,4,9,132,hds_00_004_009_000
hds_00_004_009_133,52.5241088867188,4,9,133,hds_00_004_009_000
hds_00_004_009_134,52.124324798584006,4,9,134,hds_00_004_009_000
hds_00_004_009_135,50.8568115234375,4,9,135,hds_00_004_009_000
hds_00_004_009_136,50.682411193847706,4,9,136,hds_00_004_009_000
hds_00_004_009_137,49.635093688964794,4,9,137,hds_00_004_009_000
hds_00_004_009_138,49.626914978027294,4,9,138,hds_00_004_009_000
hds_00_004_009_139,50.239860534668,4,9,139,hds_00_004_009_000
hds_00_004_009_140,51.5073432922363,4,9,140,hds_00_004_009_000
hds_00_004_009_141,50.69706726074221,4,9,141,hds_00_004_009_000
hds_00_004_009_142,50.501548767089794,4,9,142,hds_00_004_009_000
hds_00_004_009_143,50.9492340087891,4,9,143,hds_00_004_009_000
hds_00_004_009_144,51.0464744567871,4,9,144,hds_00_004_009_000
hds_00_004_009_145,50.157096862793,4,9,145,hds_00_004_009_000
hds_00_004_009_146,51.2490043640137,4,9,146,hds_00_004_009_000
hds_00_004_009_147,52.192356109619105,4,9,147,hds_00_004_009_000
hds_00_004_009_148,50.2232818603516,4,9,148,hds_00_004_009_000
hds_00_004_009_149,50.7201156616211,4,9,149,hds_00_004_009_000
hds_00_004_009_150,50.6246452331543,4,9,150,hds_00_004_009_000
hds_00_004_009_151,50.2404899597168,4,9,151,hds_00_004_009_000
hds_00_004_009_152,50.8482055664062,4,9,152,hds_00_004_009_000
hds_00_004_009_153,51.386646270752,4,9,153,hds_00_004_009_000
hds_00_004_009_154,51.6429443359375,4,9,154,hds_00_004_009_000
hds_00_004_009_155,51.5730171203613,4,9,155,hds_00_004_009_000
hds_00_004_009_156,50.8613090515137,4,9,156,hds_00_004_009_000
hds_00_004_009_157,51.531288146972706,4,9,157,hds_00_004_009_000
hds_00_004_009_158,51.138912200927706,4,9,158,hds_00_004_009_000
hds_00_004_009_159,51.793731689453104,4,9,159,hds_00_004_009_000
hds_00_004_009_160,51.2715835571289,4,9,160,hds_00_004_009_000
hds_00_004_009_161,50.725502014160206,4,9,161,hds_00_004_009_000
hds_00_004_009_162,52.52677917480471,4,9,162,hds_00_004_009_000
hds_00_004_009_163,50.937625885009794,4,9,163,hds_00_004_009_000
hds_00_004_009_164,50.058895111084006,4,9,164,hds_00_004_009_000
hds_00_004_009_165,51.0818862915039,4,9,165,hds_00_004_009_000
hds_00_004_009_166,51.1851654052734,4,9,166,hds_00_004_009_000
hds_00_004_009_167,49.955841064453104,4,9,167,hds_00_004_009_000
hds_00_004_009_168,51.344722747802706,4,9,168,hds_00_004_009_000
hds_00_004_009_169,50.5474243164062,4,9,169,hds_00_004_009_000
hds_00_004_009_170,51.475181579589794,4,9,170,hds_00_004_009_000
hds_00_004_009_171,52.8556785583496,4,9,171,hds_00_004_009_000
hds_00_004_009_172,50.69038391113279,4,9,172,hds_00_004_009_000
hds_00_004_009_173,52.714973449707,4,9,173,hds_00_004_009_000
hds_00_004_009_174,52.2401313781738,4,9,174,hds_00_004_009_000
hds_00_004_009_175,50.8018798828125,4,9,175,hds_00_004_009_000
hds_00_004_009_176,48.4666938781738,4,9,176,hds_00_004_009_000
hds_00_004_009_177,51.024723052978494,4,9,177,hds_00_004_009_000
hds_00_004_009_178,51.2003288269043,4,9,178,hds_00_004_009_000
hds_00_004_009_179,49.384464263915994,4,9,179,hds_00_004_009_000
hds_00_004_009_180,50.172576904296896,4,9,180,hds_00_004_009_000
hds_00_004_009_181,52.3621597290039,4,9,181,hds_00_004_009_000
hds_00_004_009_182,50.675441741943395,4,9,182,hds_00_004_009_000
hds_00_004_009_183,51.413692474365206,4,9,183,hds_00_004_009_000
hds_00_004_009_184,49.807033538818395,4,9,184,hds_00_004_009_000
hds_00_004_009_185,50.1119499206543,4,9,185,hds_00_004_009_000
hds_00_004_009_186,51.893383026123,4,9,186,hds_00_004_009_000
hds_00_004_009_187,51.3650131225586,4,9,187,hds_00_004_009_000
hds_00_004_009_188,53.0177688598633,4,9,188,hds_00_004_009_000
hds_00_004_009_189,51.981502532959006,4,9,189,hds_00_004_009_000
hds_00_004_009_190,53.4675178527832,4,9,190,hds_00_004_009_000
hds_00_004_009_191,52.876495361328104,4,9,191,hds_00_004_009_000
hds_00_004_009_192,52.361946105957,4,9,192,hds_00_004_009_000
hds_00_004_009_193,52.8172187805176,4,9,193,hds_00_004_009_000
hds_00_004_009_194,54.249237060546896,4,9,194,hds_00_004_009_000
hds_00_004_009_195,52.7805023193359,4,9,195,hds_00_004_009_000
hds_00_004_009_196,52.770637512207,4,9,196,hds_00_004_009_000
hds_00_004_009_197,50.724159240722706,4,9,197,hds_00_004_009_000
hds_00_004_009_198,52.6170463562012,4,9,198,hds_00_004_009_000
hds_00_004_009_199,50.8559417724609,4,9,199,hds_00_004_009_000
hds_00_004_009_200,49.7112350463867,4,9,200,hds_00_004_009_000
hds_00_004_009_201,50.6842041015625,4,9,201,hds_00_004_009_000
hds_00_004_009_202,50.8524398803711,4,9,202,hds_00_004_009_000
hds_00_004_009_203,50.492458343505895,4,9,203,hds_00_004_009_000
hds_00_004_009_204,52.1357002258301,4,9,204,hds_00_004_009_000
hds_00_004_009_205,52.684391021728494,4,9,205,hds_00_004_009_000
hds_00_004_009_206,51.035514831543,4,9,206,hds_00_004_009_000
hds_00_004_009_207,51.2764282226562,4,9,207,hds_00_004_009_000
hds_00_004_009_208,51.324031829834006,4,9,208,hds_00_004_009_000
hds_00_004_009_209,49.5999526977539,4,9,209,hds_00_004_009_000
hds_00_004_009_210,50.6002044677734,4,9,210,hds_00_004_009_000
hds_00_004_009_211,50.7436943054199,4,9,211,hds_00_004_009_000
hds_00_004_009_212,53.6615867614746,4,9,212,hds_00_004_009_000
hds_00_004_009_213,51.66593933105471,4,9,213,hds_00_004_009_000
hds_00_004_009_214,51.309085845947294,4,9,214,hds_00_004_009_000
hds_00_004_009_215,51.1838607788086,4,9,215,hds_00_004_009_000
hds_00_004_009_216,51.368934631347706,4,9,216,hds_00_004_009_000
hds_00_004_009_217,51.044715881347706,4,9,217,hds_00_004_009_000
hds_00_004_009_218,49.2540092468262,4,9,218,hds_00_004_009_000
hds_00_004_009_219,51.7422904968262,4,9,219,hds_00_004_009_000
hds_00_004_009_220,51.158321380615206,4,9,220,hds_00_004_009_000
hds_00_004_009_221,52.2369575500488,4,9,221,hds_00_004_009_000
hds_00_004_009_222,53.78767395019529,4,9,222,hds_00_004_009_000
hds_00_004_009_223,50.856227874755895,4,9,223,hds_00_004_009_000
hds_00_004_009_224,50.720306396484396,4,9,224,hds_00_004_009_000
hds_00_004_009_225,50.07568359375,4,9,225,hds_00_004_009_000
hds_00_004_009_226,51.5862884521484,4,9,226,hds_00_004_009_000
hds_00_004_009_227,50.8064041137695,4,9,227,hds_00_004_009_000
hds_00_004_009_228,49.795448303222706,4,9,228,hds_00_004_009_000
hds_00_004_009_229,52.5325126647949,4,9,229,hds_00_004_009_000
hds_00_004_009_230,50.100379943847706,4,9,230,hds_00_004_009_000
hds_00_004_009_231,49.7374038696289,4,9,231,hds_00_004_009_000
hds_00_004_009_232,50.0169258117676,4,9,232,hds_00_004_009_000
hds_00_004_009_233,53.1549186706543,4,9,233,hds_00_004_009_000
hds_00_004_009_234,50.3170509338379,4,9,234,hds_00_004_009_000
hds_00_004_009_235,51.5527496337891,4,9,235,hds_00_004_009_000
hds_00_004_009_236,49.8334732055664,4,9,236,hds_00_004_009_000
hds_00_004_009_237,51.7236213684082,4,9,237,hds_00_004_009_000
hds_00_004_009_238,49.8959274291992,4,9,238,hds_00_004_009_000
hds_00_004_009_239,50.798431396484396,4,9,239,hds_00_004_009_000
hds_00_004_009_240,51.2525787353516,4,9,240,hds_00_004_009_000
hds_00_004_009_241,50.845386505127,4,9,241,hds_00_004_009_000
hds_00_004_009_242,50.582893371582,4,9,242,hds_00_004_009_000
hds_00_004_009_243,52.4509506225586,4,9,243,hds_00_004_009_000
hds_00_004_009_244,51.5649337768555,4,9,244,hds_00_004_009_000
hds_00_004_009_245,53.4203948974609,4,9,245,hds_00_004_009_000
hds_00_004_009_246,51.672679901123,4,9,246,hds_00_004_009_000
hds_00_004_009_247,51.819908142089794,4,9,247,hds_00_004_009_000
hds_00_004_009_248,52.8181266784668,4,9,248,hds_00_004_009_000
hds_00_004_009_249,52.427116394043,4,9,249,hds_00_004_009_000
hds_00_004_009_250,53.596397399902294,4,9,250,hds_00_004_009_000
hds_00_004_009_251,52.704471588134794,4,9,251,hds_00_004_009_000
hds_00_004_009_252,52.4997978210449,4,9,252,hds_00_004_009_000
hds_00_004_009_253,53.45088195800779,4,9,253,hds_00_004_009_000
hds_00_004_009_254,48.8821792602539,4,9,254,hds_00_004_009_000
hds_00_004_009_255,51.622341156005895,4,9,255,hds_00_004_009_000
hds_00_004_009_256,50.6947174072266,4,9,256,hds_00_004_009_000
hds_00_004_009_257,51.327850341796896,4,9,257,hds_00_004_009_000
hds_00_004_009_258,51.3340377807617,4,9,258,hds_00_004_009_000
hds_00_004_009_259,53.002658843994105,4,9,259,hds_00_004_009_000
hds_00_004_009_260,52.3523635864258,4,9,260,hds_00_004_009_000
hds_00_004_009_261,52.0093193054199,4,9,261,hds_00_004_009_000
hds_00_004_009_262,51.4823532104492,4,9,262,hds_00_004_009_000
hds_00_004_009_263,51.149074554443395,4,9,263,hds_00_004_009_000
hds_00_004_009_264,53.554904937744105,4,9,264,hds_00_004_009_000
hds_00_004_009_265,49.0989799499512,4,9,265,hds_00_004_009_000
hds_00_004_009_266,48.703399658203104,4,9,266,hds_00_004_009_000
hds_00_004_009_267,50.427486419677706,4,9,267,hds_00_004_009_000
hds_00_004_009_268,50.9902420043945,4,9,268,hds_00_004_009_000
hds_00_004_009_269,51.2120475769043,4,9,269,hds_00_004_009_000
hds_00_004_009_270,49.1638412475586,4,9,270,hds_00_004_009_000
hds_00_004_009_271,51.5873603820801,4,9,271,hds_00_004_009_000
hds_00_004_009_272,52.047580718994105,4,9,272,hds_00_004_009_000
hds_00_004_009_273,50.3244705200195,4,9,273,hds_00_004_009_000
hds_00_004_009_274,53.1142425537109,4,9,274,hds_00_004_009_000
hds_00_004_009_275,50.848804473877,4,9,275,hds_00_004_009_000
hds_00_004_009_276,49.3942680358887,4,9,276,hds_00_004_009_000
hds_00_004_009_277,51.787113189697294,4,9,277,hds_00_004_009_000
hds_00_004_009_278,50.947296142578104,4,9,278,hds_00_004_009_000
hds_00_004_009_279,50.1733207702637,4,9,279,hds_00_004_009_000
hds_00_004_009_280,49.6835517883301,4,9,280,hds_00_004_009_000
hds_00_004_009_281,51.390022277832,4,9,281,hds_00_004_009_000
hds_00_004_009_282,50.9630737304688,4,9,282,hds_00_004_009_000
hds_00_004_009_283,50.4932708740234,4,9,283,hds_00_004_009_000
hds_00_004_009_284,49.0728034973145,4,9,284,hds_00_004_009_000
hds_00_004_009_285,51.0584526062012,4,9,285,hds_00_004_009_000
hds_00_004_009_286,49.6580390930176,4,9,286,hds_00_004_009_000
hds_00_004_009_287,49.726844787597706,4,9,287,hds_00_004_009_000
hds_00_004_009_288,51.2093696594238,4,9,288,hds_00_004_009_000
hds_00_004_009_289,47.0036125183105,4,9,289,hds_00_004_009_000
hds_00_004_009_290,46.321441650390604,4,9,290,hds_00_004_009_000
hds_00_004_009_291,45.640987396240206,4,9,291,hds_00_004_009_000
hds_00_004_009_292,48.696163177490206,4,9,292,hds_00_004_009_000
hds_00_004_009_293,50.36308288574221,4,9,293,hds_00_004_009_000
hds_00_004_009_294,51.470699310302706,4,9,294,hds_00_004_009_000
hds_00_004_009_295,48.202297210693395,4,9,295,hds_00_004_009_000
hds_00_004_009_296,47.718532562255895,4,9,296,hds_00_004_009_000
hds_00_004_009_297,46.7643814086914,4,9,297,hds_00_004_009_000
hds_00_004_009_298,49.2328224182129,4,9,298,hds_00_004_009_000
hds_00_004_009_299,46.1708984375,4,9,299,hds_00_004_009_000
hds_00_004_009_300,51.869590759277294,4,9,300,hds_00_004_009_000
hds_00_004_009_301,51.83735656738279,4,9,301,hds_00_004_009_000
hds_00_004_009_302,51.084476470947294,4,9,302,hds_00_004_009_000
hds_00_004_009_303,49.391872406005895,4,9,303,hds_00_004_009_000
hds_00_004_009_304,49.8433723449707,4,9,304,hds_00_004_009_000
hds_00_004_009_305,52.9754981994629,4,9,305,hds_00_004_009_000
hds_00_004_009_306,49.0864334106445,4,9,306,hds_00_004_009_000
hds_00_004_009_307,49.2296943664551,4,9,307,hds_00_004_009_000
hds_00_004_009_308,48.890594482421896,4,9,308,hds_00_004_009_000
hds_00_004_009_309,48.367103576660206,4,9,309,hds_00_004_009_000
hds_00_004_009_310,50.4968109130859,4,9,310,hds_00_004_009_000
hds_00_004_009_311,51.627170562744105,4,9,311,hds_00_004_009_000
hds_00_004_009_312,49.7246894836426,4,9,312,hds_00_004_009_000
hds_00_004_009_313,49.1878547668457,4,9,313,hds_00_004_009_000
hds_00_004_009_314,49.2739791870117,4,9,314,hds_00_004_009_000
hds_00_004_009_315,48.906223297119105,4,9,315,hds_00_004_009_000
hds_00_004_009_316,50.965782165527294,4,9,316,hds_00_004_009_000
hds_00_004_009_317,49.13134765625,4,9,317,hds_00_004_009_000
hds_00_004_009_318,50.7372169494629,4,9,318,hds_00_004_009_000
hds_00_004_009_319,52.655887603759794,4,9,319,hds_00_004_009_000
hds_00_004_009_320,49.5008773803711,4,9,320,hds_00_004_009_000
hds_00_004_009_321,49.297279357910206,4,9,321,hds_00_004_009_000
hds_00_004_009_322,50.0453033447266,4,9,322,hds_00_004_009_000
hds_00_004_009_323,49.8372611999512,4,9,323,hds_00_004_009_000
hds_00_004_009_324,50.547000885009794,4,9,324,hds_00_004_009_000
hds_00_004_009_325,49.9012222290039,4,9,325,hds_00_004_009_000
hds_00_004_009_326,50.0256881713867,4,9,326,hds_00_004_009_000
hds_00_004_009_327,51.7756423950195,4,9,327,hds_00_004_009_000
hds_00_004_009_328,49.7409782409668,4,9,328,hds_00_004_009_000
hds_00_004_009_329,51.6337471008301,4,9,329,hds_00_004_009_000
hds_00_004_009_330,50.2082023620605,4,9,330,hds_00_004_009_000
hds_00_004_009_331,48.143104553222706,4,9,331,hds_00_004_009_000
hds_00_004_009_332,48.6580009460449,4,9,332,hds_00_004_009_000
hds_00_004_009_333,51.553562164306605,4,9,333,hds_00_004_009_000
hds_00_004_009_334,51.5876617431641,4,9,334,hds_00_004_009_000
hds_00_004_009_335,52.2724609375,4,9,335,hds_00_004_009_000
hds_00_004_009_336,50.27214050292971,4,9,336,hds_00_004_009_000
hds_00_004_009_337,50.8815574645996,4,9,337,hds_00_004_009_000
hds_00_004_009_338,50.391628265380895,4,9,338,hds_00_004_009_000
hds_00_004_009_339,48.94282531738279,4,9,339,hds_00_004_009_000
hds_00_004_009_340,50.7901000976562,4,9,340,hds_00_004_009_000
hds_00_004_009_341,49.8199462890625,4,9,341,hds_00_004_009_000
hds_00_004_009_342,50.4252395629883,4,9,342,hds_00_004_009_000
hds_00_004_009_343,51.0161552429199,4,9,343,hds_00_004_009_000
hds_00_004_009_344,50.109100341796896,4,9,344,hds_00_004_009_000
hds_00_004_009_345,49.718017578125,4,9,345,hds_00_004_009_000
hds_00_004_009_346,48.972938537597706,4,9,346,hds_00_004_009_000
hds_00_004_009_347,48.726535797119105,4,9,347,hds_00_004_009_000
hds_00_004_009_348,52.8984603881836,4,9,348,hds_00_004_009_000
hds_00_004_009_349,50.6265144348145,4,9,349,hds_00_004_009_000
hds_00_004_009_350,51.399166107177706,4,9,350,hds_00_004_009_000
hds_00_004_009_351,50.5922775268555,4,9,351,hds_00_004_009_000
hds_00_004_009_352,50.0380249023438,4,9,352,hds_00_004_009_000
hds_00_004_009_353,51.038368225097706,4,9,353,hds_00_004_009_000
hds_00_004_009_354,51.6211624145508,4,9,354,hds_00_004_009_000
hds_00_004_009_355,51.6046371459961,4,9,355,hds_00_004_009_000
hds_00_004_009_356,51.1557693481445,4,9,356,hds_00_004_009_000
hds_00_004_009_357,49.935585021972706,4,9,357,hds_00_004_009_000
hds_00_004_009_358,50.4989242553711,4,9,358,hds_00_004_009_000
hds_00_004_009_359,48.331111907959006,4,9,359,hds_00_004_009_000
hds_00_004_009_360,52.7617340087891,4,9,360,hds_00_004_009_000
hds_00_004_009_361,46.993801116943395,4,9,361,hds_00_004_009_000
hds_00_004_009_362,49.0992546081543,4,9,362,hds_00_004_009_000
hds_00_004_009_363,50.3309211730957,4,9,363,hds_00_004_009_000
hds_00_004_009_364,48.9142646789551,4,9,364,hds_00_004_009_000
hds_00_014_011_000,31.4536018371582,14,11,0,hds_00_014_011_000
hds_00_014_011_001,31.4344825744629,14,11,1,hds_00_014_011_000
hds_00_014_011_002,30.543004989624,14,11,2,hds_00_014_011_000
hds_00_014_011_003,30.8924732208252,14,11,3,hds_00_014_011_000
hds_00_014_011_004,31.432559967041,14,11,4,hds_00_014_011_000
hds_00_014_011_005,30.8018741607666,14,11,5,hds_00_014_011_000
hds_00_014_011_006,31.0808944702148,14,11,6,hds_00_014_011_000
hds_00_014_011_007,29.7406444549561,14,11,7,hds_00_014_011_000
hds_00_014_011_008,31.5713233947754,14,11,8,hds_00_014_011_000
hds_00_014_011_009,29.091716766357397,14,11,9,hds_00_014_011_000
hds_00_014_011_010,30.6183261871338,14,11,10,hds_00_014_011_000
hds_00_014_011_011,30.557205200195302,14,11,11,hds_00_014_011_000
hds_00_014_011_012,26.037780761718803,14,11,12,hds_00_014_011_000
hds_00_014_011_013,27.066776275634798,14,11,13,hds_00_014_011_000
hds_00_014_011_014,27.256532669067397,14,11,14,hds_00_014_011_000
hds_00_014_011_015,27.8433837890625,14,11,15,hds_00_014_011_000
hds_00_014_011_016,25.1257133483887,14,11,16,hds_00_014_011_000
hds_00_014_011_017,22.9887523651123,14,11,17,hds_00_014_011_000
hds_00_014_011_018,24.2654075622559,14,11,18,hds_00_014_011_000
hds_00_014_011_019,25.0737800598145,14,11,19,hds_00_014_011_000
hds_00_014_011_020,23.1454181671143,14,11,20,hds_00_014_011_000
hds_00_014_011_021,19.1479225158691,14,11,21,hds_00_014_011_000
hds_00_014_011_022,10.6639461517334,14,11,22,hds_00_014_011_000
hds_00_014_011_023,17.494895935058597,14,11,23,hds_00_014_011_000
hds_00_014_011_024,18.209459304809602,14,11,24,hds_00_014_011_000
hds_00_014_011_025,13.923211097717301,14,11,25,hds_00_014_011_000
hds_00_014_011_026,22.5272541046143,14,11,26,hds_00_014_011_000
hds_00_014_011_027,19.5872268676758,14,11,27,hds_00_014_011_000
hds_00_014_011_028,23.2029762268066,14,11,28,hds_00_014_011_000
hds_00_014_011_029,24.429241180419897,14,11,29,hds_00_014_011_000
hds_00_014_011_030,24.504806518554698,14,11,30,hds_00_014_011_000
hds_00_014_011_031,26.1404647827148,14,11,31,hds_00_014_011_000
hds_00_014_011_032,28.2540092468262,14,11,32,hds_00_014_011_000
hds_00_014_011_033,26.5537414550781,14,11,33,hds_00_014_011_000
hds_00_014_011_034,26.488449096679698,14,11,34,hds_00_014_011_000
hds_00_014_011_035,28.074472427368196,14,11,35,hds_00_014_011_000
hds_00_014_011_036,27.9355812072754,14,11,36,hds_00_014_011_000
hds_00_014_011_037,29.4315567016602,14,11,37,hds_00_014_011_000
hds_00_014_011_038,29.2867698669434,14,11,38,hds_00_014_011_000
hds_00_014_011_039,29.565942764282198,14,11,39,hds_00_014_011_000
hds_00_014_011_040,28.4890289306641,14,11,40,hds_00_014_011_000
hds_00_014_011_041,29.521509170532198,14,11,41,hds_00_014_011_000
hds_00_014_011_042,29.197467803955103,14,11,42,hds_00_014_011_000
hds_00_014_011_043,32.3834457397461,14,11,43,hds_00_014_011_000
hds_00_014_011_044,32.9974212646484,14,11,44,hds_00_014_011_000
hds_00_014_011_045,34.224113464355504,14,11,45,hds_00_014_011_000
hds_00_014_011_046,32.9479446411133,14,11,46,hds_00_014_011_000
hds_00_014_011_047,34.9640731811523,14,11,47,hds_00_014_011_000
hds_00_014_011_048,36.3973999023438,14,11,48,hds_00_014_011_000
hds_00_014_011_049,36.5263710021973,14,11,49,hds_00_014_011_000
hds_00_014_011_050,36.188907623291,14,11,50,hds_00_014_011_000
hds_00_014_011_051,35.6836166381836,14,11,51,hds_00_014_011_000
hds_00_014_011_052,36.432746887206996,14,11,52,hds_00_014_011_000
hds_00_014_011_053,35.996574401855504,14,11,53,hds_00_014_011_000
hds_00_014_011_054,36.3255653381348,14,11,54,hds_00_014_011_000
hds_00_014_011_055,36.7322540283203,14,11,55,hds_00_014_011_000
hds_00_014_011_056,34.8764114379883,14,11,56,hds_00_014_011_000
hds_00_014_011_057,35.570011138916,14,11,57,hds_00_014_011_000
hds_00_014_011_058,34.675479888916,14,11,58,hds_00_014_011_000
hds_00_014_011_059,35.6796073913574,14,11,59,hds_00_014_011_000
hds_00_014_011_060,36.3810882568359,14,11,60,hds_00_014_011_000
hds_00_014_011_061,36.6046485900879,14,11,61,hds_00_014_011_000
hds_00_014_011_062,36.3389434814453,14,11,62,hds_00_014_011_000
hds_00_014_011_063,37.3589973449707,14,11,63,hds_00_014_011_000
hds_00_014_011_064,35.0584716796875,14,11,64,hds_00_014_011_000
hds_00_014_011_065,36.19643020629879,14,11,65,hds_00_014_011_000
hds_00_014_011_066,36.235782623291,14,11,66,hds_00_014_011_000
hds_00_014_011_067,36.4033813476562,14,11,67,hds_00_014_011_000
hds_00_014_011_068,34.7686157226562,14,11,68,hds_00_014_011_000
hds_00_014_011_069,36.1154022216797,14,11,69,hds_00_014_011_000
hds_00_014_011_070,36.4017791748047,14,11,70,hds_00_014_011_000
hds_00_014_011_071,35.4200592041016,14,11,71,hds_00_014_011_000
hds_00_014_011_072,33.3199653625488,14,11,72,hds_00_014_011_000
hds_00_014_011_073,35.256019592285206,14,11,73,hds_00_014_011_000
hds_00_014_011_074,35.2968406677246,14,11,74,hds_00_014_011_000
hds_00_014_011_075,36.33677291870121,14,11,75,hds_00_014_011_000
hds_00_014_011_076,35.755313873291,14,11,76,hds_00_014_011_000
hds_00_014_011_077,36.78293991088871,14,11,77,hds_00_014_011_000
hds_00_014_011_078,36.9185028076172,14,11,78,hds_00_014_011_000
hds_00_014_011_079,35.42689895629879,14,11,79,hds_00_014_011_000
hds_00_014_011_080,36.5887794494629,14,11,80,hds_00_014_011_000
hds_00_014_011_081,36.677921295166,14,11,81,hds_00_014_011_000
hds_00_014_011_082,36.050018310546896,14,11,82,hds_00_014_011_000
hds_00_014_011_083,37.152381896972706,14,11,83,hds_00_014_011_000
hds_00_014_011_084,36.028228759765604,14,11,84,hds_00_014_011_000
hds_00_014_011_085,36.7152900695801,14,11,85,hds_00_014_011_000
hds_00_014_011_086,36.3204383850098,14,11,86,hds_00_014_011_000
hds_00_014_011_087,37.1781005859375,14,11,87,hds_00_014_011_000
hds_00_014_011_088,36.6057243347168,14,11,88,hds_00_014_011_000
hds_00_014_011_089,37.2764663696289,14,11,89,hds_00_014_011_000
hds_00_014_011_090,36.746429443359396,14,11,90,hds_00_014_011_000
hds_00_014_011_091,35.8519248962402,14,11,91,hds_00_014_011_000
hds_00_014_011_092,36.303497314453104,14,11,92,hds_00_014_011_000
hds_00_014_011_093,37.14003372192379,14,11,93,hds_00_014_011_000
hds_00_014_011_094,36.5059776306152,14,11,94,hds_00_014_011_000
hds_00_014_011_095,37.194145202636705,14,11,95,hds_00_014_011_000
hds_00_014_011_096,36.7575454711914,14,11,96,hds_00_014_011_000
